Id,Prediction
10000BC,34551469.834731
21,11885052.190693
27dresses,7898424.078580
88minutes,11990135.662214
airibreathe,536990.456508
alexandra,959702.220827
americancarol,11049877.367407
anamorph,-69939.531791
andwhendidyoulastseeyourfather,-1696375.563686
appaloosa,6318078.023182
ashesoftimeredux,1212012.616185
august,-977067.206877
babylonad,21368720.071324
babymama,6486234.338683
babysitters,-354952.479963
bandsvisit,983549.460597
bangkokdangerous2008,19987967.876771
bankjob,7298041.730738
battleinseattle,-165966.974109
bedtimestories,13953675.751088
beerformyhorses,-160403.180014
beforeiforget,3950821.832014
bekindrewind,5787028.546535
benjaminbutton2008,41224823.488233
bolt,45591903.028619
bestofbothworlds,271400.916851
betrayal,2145673.660065
beverlyhillschihuahua,8147343.663351
biggerstrongerfaster,-3678995.425238
blindmountain,-1468503.349949
blindness2008,11798595.363233
boardinggate,-3467860.330458
bodyoflies,20423440.301453
bonneville,-1740767.723322
bottleshock,-4448341.462599
boyinthestripedpajamas,-1569338.869114
breakfastwithscot,2028832.706263
bridesheadrevisited,293329.397887
burnafterreading,19715175.761112
businessofbeingborn,319229.874296
bustindownthedoor,18901.105507
cadillacrecords,-3888826.415867
caramel,-2214543.395063
cassandrasdream,-8518641.759726
changeling2008,-4166227.472697
chaostheory,-719217.816219
chapter27,-1762858.657267
charliebartlett,1805109.178108
childrenofhuangshi,543024.021630
chopshop,3019487.581508
chrisanddon,804423.556374
christmasonmars,-1417543.982575
cityofember,22623697.636616
cityofmen,4886062.736289
cj7,2474973.939167
clonewars,17870577.116132
cloverfield,22197159.954254
college2008,9920266.503451
collegeroadtrip,11815183.175799
counterfeiters,-46551.868414
cover,-2346485.937609
csny,-8076956.575666
cthulhu,-1803784.526758
darkknight,76132187.779373
darkstreets,-2015544.121094
daysandclouds,-2577306.228587
daytheearthstoodstill,27792265.077544
dayzero,-1134786.268615
deal2008,-816528.846202
dearzachary,-1599348.879481
deathdefyingacts,-1608715.131731
deathrace,26041071.655160
deception,2638461.666951
Defiance,6461399.773016
definitelymaybe,18994352.016145
delgo,7841285.094181
diaryofthedead2008,-3638927.948913
disastermovie,18247493.512594
doomsday,13351432.063919
doubt,1525648.412615
drillbittaylor,25531260.907855
duchess2008,6957320.731453
eagleeye,32826549.440513
eden,-65203.617845
edgeofheaven,1660402.735223
elegy,-4489530.301354
elitesquad,-2954408.429833
encountersattheendoftheworld,3109572.085359
everybodywantstobeitalian,-2648202.759996
expellednointelligenceallowed,5468078.791002
express,19385998.957318
eye2008,12001442.805740
fall2006,-2432894.466568
familythatpreys,9437062.878217
filthandwisdom,-6205860.492424
findingamanda,-2215750.649230
fireproof,3608198.642547
firstsunday,13687020.155328
flashofgenius2008,7057328.480058
flashpoint,-725124.702338
flawless2007,-6953031.550539
flightoftheredballoon,-64719.436618
flowforloveofwater,-3206620.099624
flymetothemoon,227176.380481
foolsgold,24987732.292241
forbiddenkingdom,23014277.787913
foreverstrong,-953338.313396
forgettingsarahmarshall,20197361.704461
fourchristmases,36285196.028231
frostnixon,9876386.084559
frozenriver,-1294287.479717
fullbattlerattle,1393965.933463
funnygames2008,1066766.462021
gardensofthenight,-389437.134769
getsmart,14236420.776083
ghosttown,10962411.083649
glassaportraitofphilipintwelveparts,-1705139.043683
gonzo,4988995.347190
